pessoa feliz;predict_arvore;proba_arvore;predict_naive;proba_naive;predict_reg;proba_reg
1;1;0.9;1;1.0;1;0.9984284525240292
1;0;0.3333333333333333;0;1.8088835900572754e-18;1;0.6992573223143468
1;1;1.0;0;4.056165608861599e-18;1;0.7560664044645311
1;1;1.0;0;1.437160225266655e-40;1;0.694751900051187
0;1;0.7777777777777778;0;8.392132740910336e-21;0;0.2096932073736363
1;1;1.0;0;6.1507289681365894e-12;1;0.9984704524489548
1;1;1.0;1;1.0;1;0.9999961810576008
0;1;0.7777777777777778;0;1.5602783072554143e-18;1;0.9112686733538332
1;1;0.875;0;6.191840211765589e-17;1;0.9365693690366501
1;1;1.0;0;3.394823278593553e-12;1;0.9937689012354228
1;0;0.5;0;2.6461467633703704e-18;1;0.7785768909628327
1;1;1.0;1;1.0;1;0.9999060642805188
1;1;1.0;0;1.243530332576414e-10;1;0.9998850095862274
0;1;0.6666666666666666;0;7.035142174180125e-19;1;0.8552181481887738
1;1;0.6666666666666666;1;1.0;1;0.9973831957455048
0;1;0.5714285714285714;0;3.5569920810116676e-14;1;0.8779725213891951
1;1;0.7777777777777778;1;1.0;1;0.9978344582343915
1;1;0.875;0;4.42733983923697e-11;1;0.898101324301338
1;1;0.8461538461538461;1;1.0;1;0.9965349181440387
1;1;1.0;0;3.958758296220189e-20;1;0.7707413609000546
0;1;0.6666666666666666;0;3.610675722615085e-19;1;0.8171369893004495
1;1;0.6666666666666666;0;5.811691907451614e-20;1;0.5469964987927735
1;1;1.0;0;1.0363288219837221e-10;1;0.9997652367322256
1;1;1.0;0;2.1138382286011023e-10;1;0.9936636940294015
1;1;0.6666666666666666;0;4.0077695314292894e-17;1;0.7128884702495826
1;1;1.0;0;2.0074836659488806e-10;1;0.9997722763250183
1;1;0.9;0;2.0961876944304141e-19;1;0.5460257284159339
0;1;0.5714285714285714;0;1.1433905905397453e-49;0;0.00018912760735669587
1;1;0.9;0;1.1109744404408882e-15;1;0.9016858117985713
1;1;0.9;1;1.0;1;0.9983065453879065
0;1;0.8461538461538461;0;1.6980423788279818e-22;0;0.45158560172331075
1;1;1.0;0;6.356288083053493e-12;1;0.9978943282026171
0;0;0.3333333333333333;0;8.300481108596933e-17;1;0.8496292347735814
1;1;0.8461538461538461;0;5.2711571649863786e-20;1;0.5492397558662934
1;1;1.0;0;8.381693288649828e-18;0;0.4995217347373054
1;1;0.875;0;2.1794088891283253e-12;1;0.9440546272297686
1;1;1.0;0;8.587498458921619e-10;1;0.9999419619014459
1;0;0.3333333333333333;1;1.0;1;0.9908856513347409
1;1;0.9;0;2.3583820089841384e-19;0;0.26535949475799586
1;1;0.8571428571428571;1;1.0;1;0.9872694449253733
1;1;1.0;0;5.768726256098748e-18;1;0.6149421552991529
0;0;0.2857142857142857;0;3.6021780618742635e-21;0;0.44092457034904525
0;0;0.3333333333333333;0;4.941570142335046e-20;0;0.36197993313831883
1;1;0.8571428571428571;0;7.470530631196474e-13;1;0.9977926213562741
1;1;1.0;1;1.0;1;0.9982050147373174
0;0;0.2857142857142857;0;3.394326833988291e-20;0;0.4888436119786845
0;0;0.5;0;8.266187540774825e-18;1;0.5386996009727174
1;1;1.0;0;1.8281577547221472e-13;1;0.9999336109902714
